virus,realm,locus_tag,host,type,shape,corr,p.value
Clo Mor virus,NA,CA782,NA,ss-RNA,linear,-0.389070718877849,0.00248641413978677
Microbacterium phage MementoMori,Duplodnaviria,HOT41,bacteria,DNA,linear,0.456704297271525,0.000362769734364115
Laodelphax striatella honeydew virus 1,Riboviria,CG72,invertebrates,RNA,linear,-0.230333138515488,0.0793549164197957
Rhizoctonia solani endornavirus 2,Riboviria,KM629,fungi,RNA,linear,-0.477556984219755,0.000157123546601504
Lamium leaf distortion virus,Riboviria,LLDV,land plants,DNA,circular,-0.316189362945646,0.0159550115518153
Pseudomonas phage TL,Duplodnaviria,CF76,bacteria,DNA,linear,0.31198129748685,0.0164953059597064
Hubei hepe-like virus 2,Riboviria,BWW00,invertebrates,RNA,linear,-0.372881355932203,0.00383654746871588
Lake Sarah-associated circular molecule 10,unclassified viruses,A0R85,invertebrates,ss-DNA,circular,-0.368614718614719,0.00589059223183956
Sulfolobus monocaudavirus SMV1,Bicaudaviridae,CF87,archaea,DNA,circular,-0.457042665108124,0.000317546526803261
Mycobacterium phage Batiatus,Duplodnaviria,I5H14,bacteria,DNA,linear,0.452367036820573,0.000370673352903324
Bat coronavirus,Riboviria,CAU86,vertebrates,RNA,linear,-0.233430742255991,0.0753147721423569
Bat coronavirus,Riboviria,CAU86,vertebrates,ss-RNA,linear,-0.233430742255991,0.0753147721423569
Squirrel monkey polyomavirus,Monodnaviria,PMPyV,vertebrates,DNA,circular,-0.465870989572119,0.000267702714344351
Propionibacterium phage PHL071N05,Duplodnaviria,P751,bacteria,DNA,linear,0.0433664523670368,0.74373457767852
Salmonella phage S118,Duplodnaviria,HYP66,bacteria,DNA,circular,-0.110870835768556,0.402162089626229
Wenzhou picorna-like virus 44,Riboviria,BWS67,invertebrates,RNA,linear,-0.0940970192869667,0.47737892803772
Human bocavirus 2,Monodnaviria,AR658,human:vertebrates,NA,NA,-0.277030976037405,0.0339903334913784
Ourmia melon virus,Riboviria,OuMV,land plants,ss-RNA,linear,-0.132787843366452,0.315168376496716
Vaprio virus,Riboviria,FLA74,vertebrates,RNA,linear,-0.427936879018118,0.000805091567662446
Andrographis yellow vein leaf curl betasatellite,Tolecusatellitidae,DJ25,land plants,ss-DNA,circular,0.00721173324690058,0.964089099534228
bovine rhinitis B virus 1,Riboviria,BRV2,vertebrates,RNA,linear,-0.152425482174167,0.248400067473222
Sulfolobus islandicus rod-shaped virus 10,Adnaviria,CCL34,archaea,DNA,linear,-0.422559906487434,0.000948174038643997
Hubei tombus-like virus 6,Riboviria,BWX20,invertebrates,RNA,linear,-0.347983635300994,0.00719144656119617
Mal de Rio Cuarto virus,Riboviria,MRCV,land plants,DNA,linear,-0.28042080654588,0.0317970159422095
Mal de Rio Cuarto virus,Riboviria,MRCV,land plants,ds-RNA,linear,-0.28042080654588,0.0317970159422095
Mal de Rio Cuarto virus,Riboviria,MRCV,land plants,RNA,linear,-0.28042080654588,0.0317970159422095
Luffa begomovirus betasatellite,Tolecusatellitidae,AR671,land plants,DNA,circular,-0.06553911205074,0.671609474846411
Mycobacterium phage Arlo,Duplodnaviria,JMN46,bacteria,DNA,linear,0.536294564582116,1.64479778041228e-05
Golden Gate virus,Riboviria,B919,vertebrates,RNA,linear,-0.402045587375804,0.00173028434941388
Spodoptera exigua iflavirus 2,Riboviria,CI06,invertebrates,RNA,linear,-0.367212156633548,0.00444463372820524
Picalivirus A,NA,EXJ47,NA,RNA,linear,0.366686148451198,0.0045051681214895
Limeum africanum associated virus,Monodnaviria,C5Y53,land plants,ss-DNA,circular,-0.367708063261602,0.00513890168898603
Kern Canyon virus,Riboviria,CAV01,vertebrates,RNA,linear,-0.41624780829924,0.00114526479449774
Roseobacter phage RD-1410W1-01,Duplodnaviria,HYO99,bacteria,DNA,linear,0.194097019286967,0.14049325813443
Hubei lepidoptera virus 1,Riboviria,BVA88,invertebrates,RNA,linear,-0.416189362945646,0.00114725099235878
Vibrio phage phi 1,Duplodnaviria,AVV30,bacteria,DNA,linear,-0.306370543541788,0.0186248069341052
Wheat spindle streak mosaic virus,Riboviria,F2Q07,land plants,RNA,linear,-0.182992402104033,0.164987799907865
Wuhan Louse Fly Virus 9,Riboviria,BJK15,invertebrates,RNA,linear,-0.423845704266511,0.000912007968570426
Mycobacterium phage SoilDragon,Duplodnaviria,KIJ58,bacteria,DNA,linear,0.595675043834015,1.12411003990233e-06
Enterobacter phage KNP7,NA,NA,NA,DNA,linear,0.295675043834015,0.0233409624953864
Changjiang narna-like virus 3,Riboviria,BWV48,invertebrates,RNA,linear,-0.188661601402689,0.152116131101585
Baboon orthoreovirus,Riboviria,BoRV,vertebrates,ds-RNA,linear,-0.405143191116306,0.00158361615773124
Baboon orthoreovirus,Riboviria,BoRV,vertebrates,RNA,linear,-0.405143191116306,0.00158361615773124
Beihai tombus-like virus 14,Riboviria,BWV35,invertebrates,RNA,linear,-0.166218585622443,0.207751190845991
Paenibacillus phage Scottie,Duplodnaviria,KMD19,bacteria,DNA,linear,-0.45698421975453,0.00031816521452295
Equine torovirus,NA,FK940,NA,RNA,linear,-0.391466978375219,0.00232774342701071
Barley stripe mosaic virus,Riboviria,BSMV,land plants,ss-RNA,linear,-0.400350672121566,0.00181560503309076
Abutilon Brazil virus,Monodnaviria,AbBV,land plants,DNA,circular,-0.132963179427236,0.314525380221687
Homalodisca vitripennis reovirus,Riboviria,HVRV,invertebrates,RNA,linear,-0.515488018702513,3.82014903614314e-05
Endive necrotic mosaic virus,Riboviria,B8062,land plants,RNA,linear,-0.465341905318527,0.000240066771305471
Macroptilium mosaic Puerto Rico virus,Monodnaviria,MmPRv,land plants,ss-DNA,circular,-0.359088252483928,0.00546476312835895
Puumala orthohantavirus,Riboviria,PUUV,human:vertebrates,cRNA,linear,-0.423421206435141,0.00102545388933791
Puumala orthohantavirus,Riboviria,PUUV,human:vertebrates,RNA,linear,-0.423421206435141,0.00102545388933791
Puumala orthohantavirus,Riboviria,PUUV,human:vertebrates,ss-RNA,linear,-0.423421206435141,0.00102545388933791
Sida yellow mosaic China virus - [Hainan 8],Monodnaviria,A356,land plants,DNA,circular,-0.369666861484512,0.00417157024856289
Vibrio phage VvAW1,Duplodnaviria,I904,bacteria,DNA,circular,-0.139567504383402,0.290921893090852
Ghunavirus WRT,Duplodnaviria,HOR77,bacteria,NA,NA,0.662361192285214,3.09001611014435e-08
Beihai picorna-like virus 26,Riboviria,BVF96,invertebrates,RNA,linear,-0.319286966686149,0.0140387956894451
Mycobacterium phage 244,Duplodnaviria,ST244p1,bacteria,DNA,linear,0.58135593220339,2.22983961359121e-06
Torque teno virus 14,Anelloviridae,TTV14,vertebrates,ss-DNA,circular,-0.112448860315605,0.395464213975867
Wuhan flea virus,Riboviria,AS187,invertebrates,RNA,linear,-0.419111630625365,0.0010516649593488
Bovine parvovirus 1,Monodnaviria,D1T22,vertebrates,DNA,linear,-0.196785505552309,0.134997772737908
Primate T-lymphotropic virus 3,Riboviria,STLV3gp,human:vertebrates,DNA,linear,-0.0895967270601987,0.498769559017484
Belladonna mottle virus,Riboviria,D1T00,land plants,RNA,linear,0.182091592617908,0.178759050907251
Tree shrew adenovirus 1,Varidnaviria,TSAdV,vertebrates,DNA,linear,-0.0646990064289889,0.625519130832196
Mycobacterium phage Sebata,Duplodnaviria,FDI20,bacteria,DNA,linear,0.637931034482759,1.28974114147595e-07
Streptomyces phage WheeHeim,Varidnaviria,KMD61,bacteria,DNA,linear,0.220748100526008,0.0929585283304566
falcon adenovirus 1,Varidnaviria,FK838,vertebrates,DNA,linear,-0.120847573479152,0.37394430940586
Diatom colony associated dsRNA virus 7,NA,EXL00,NA,RNA,linear,0.0263004091174752,0.842942490291679
Cronobacter phage ENT39118,Duplodnaviria,G186,bacteria,DNA,circular,0.00859146697837522,0.948518771002239
Delphinus delphis polyomavirus 1,Monodnaviria,RM70,vertebrates,DNA,circular,-0.604726510386888,2.18572390798089e-06
Porcine associated porprismacovirus 3,Monodnaviria,L678,vertebrates,DNA,circular,-0.154459424423127,0.250553057693124
Little cherry virus 1,Riboviria,Lcv1gp,land plants,ss-RNA,linear,-0.419286966686149,0.00104616573137987
Sweet potato chlorotic fleck virus,Riboviria,SPCFV,land plants,RNA,linear,-0.419871420222092,0.00102802229300507
Bovine mastadenovirus A,NA,BAdV,NA,DNA,linear,-0.34833430742256,0.00713033768725461
Mycobacterium phage Bella96,Duplodnaviria,I5G95,bacteria,DNA,linear,0.474868497954413,0.000172706918464529
Picornavirales Bu-3,Riboviria,BEN57,vertebrates,RNA,linear,-0.117358270017534,0.375053017695222
Xylella phage Sano,Duplodnaviria,FGG50,bacteria,DNA,circular,0.565341905318527,4.66265194545735e-06
Escherichia phage EC6098,Monodnaviria,HWD30,bacteria,DNA,linear,-0.0649358639146083,0.627324470247771
Tunis virus,Riboviria,F2Q21,vertebrates,RNA,linear,-0.354412624196376,0.00614123743488605
Synechococcus phage S-SM2,Duplodnaviria,SSM2,bacteria,DNA,linear,-0.183635300993571,0.163488999322656
Wenzhou sobemo-like virus 4,Riboviria,BWS41,invertebrates,RNA,linear,-0.360054138853856,0.00575318350387391
Xanthomonas phage RiverRider,Duplodnaviria,HWB58,bacteria,DNA,linear,0.180596142606663,0.170663562030018
Ranid herpesvirus 2,Duplodnaviria,RaHV2_gp001,vertebrates,DNA,linear,0.158562244301578,0.22968819289574
Sugarcane striate virus,Monodnaviria,CF101,land plants,ss-DNA,linear,-0.27843366452367,0.0330678607375338
Sweet potato leaf curl Spain virus,Monodnaviria,SPBV,land plants,DNA,circular,-0.392460549386324,0.00226465728390214
Pseudomonas phage SM1,Duplodnaviria,FDG94,bacteria,DNA,linear,0.190181180596143,0.148796827104704
Beihai tombus-like virus 4,Riboviria,BVB39,invertebrates,RNA,linear,-0.471186440677966,0.000196357894156284
Vespertiliovirus SkV1CR23x,Monodnaviria,SkV1VCR23x,bacteria,NA,NA,-0.463717739702852,0.000287716080332749
Escherichia phage ESCO5,Duplodnaviria,HOR27,bacteria,DNA,linear,-0.309526592635886,0.0173997132968325
Oenococcus phage phi9805,Duplodnaviria,CF77,bacteria,DNA,linear,-0.3708357685564,0.00404685370842835
Arthrobacter phage Preamble,Duplodnaviria,FDH61,bacteria,DNA,linear,0.541087083576856,1.34509970848703e-05
Shigella phage vB SflS-ISF001,NA,HOS16,NA,NA,NA,-0.219929865575687,0.0941999196508196
Passion fruit chlorotic mottle virus,Monodnaviria,EXK60,land plants,DNA,circular,-0.412624196376388,0.00127445862822886
Delftia phage RG-2014,Duplodnaviria,RG2014,bacteria,DNA,linear,0.655347749853887,4.78928376679452e-08
Vibrio phage QH,Duplodnaviria,ACQ41,bacteria,DNA,linear,-0.0530099357101111,0.689358051459697
Stx1 converting phage AU5Stx1,NA,H3H25,NA,DNA,linear,-0.225482174167154,0.0860268069079589
Hubei permutotetra-like virus 3,Riboviria,BWW72,invertebrates,RNA,linear,-0.425248392752776,0.000873982940364274
Lactococcus phage 936 group phage PhiLj,Duplodnaviria,HYO96,bacteria,DNA,linear,-0.383401519579193,0.00290097217323374
Wenling picorna-like virus 6,Riboviria,BWT33,invertebrates,RNA,linear,-0.336645236703682,0.00943175782790961
Clitoria yellow mottle virus,Riboviria,CliYMV,land plants,RNA,linear,-0.303039158386908,0.0199973883430818
Mycobacterium phage Brusacoram,Duplodnaviria,SEA,bacteria,DNA,linear,0.450087668030392,0.000399411765323686
Proteus phage vB PmiP Pm5460,NA,AVT60,NA,NA,NA,-0.216306253652835,0.0998547124012407
Hubei diptera virus 12,Riboviria,BWW10,invertebrates,RNA,linear,-0.333489187609585,0.0101548522304934
Fromanvirus mrgordo,Duplodnaviria,FGG31,bacteria,NA,NA,0.533196960841613,1.87050545129241e-05
Salmonella phage vB-SalM-PM10,Duplodnaviria,BI092,bacteria,DNA,circular,-0.126592635885447,0.338430080629996
Mycobacterium phage CicholasNage,Duplodnaviria,KNU44,bacteria,DNA,linear,0.270660432495617,0.0384553312453202
Prochlorococcus phage P-SSP7,NA,PSSP7,NA,DNA,linear,-0.326125073056692,0.012032569208079
Salmonella phage FSLSP004,Duplodnaviria,N272,bacteria,DNA,linear,0.0466393921683226,0.725122941842378
Garlic virus D,Riboviria,X660,land plants,RNA,linear,-0.216014026884863,0.10032205675443
Mycobacterium phage Serendipitous,Duplodnaviria,I5G64,bacteria,DNA,linear,0.536995908825249,1.59735318146447e-05
Strawberry crinkle virus,Riboviria,FK814,land plants,ss-RNA,linear,-0.50907441016334,6.66393871453761e-05
Streptococcus phage SpSL1,Duplodnaviria,ACQ35,bacteria,DNA,linear,-0.357334891876096,0.00571031117403692
Malvastrum bright yellow mosaic virus,Monodnaviria,BKN27,land plants,DNA,circular,-0.333489187609585,0.0101548522304934
Mycobacterium phage Butters,Duplodnaviria,K768,bacteria,DNA,linear,0.475686732904734,0.000167820061471085
Salmonella phage SETP7,Duplodnaviria,V184,bacteria,DNA,linear,-0.173524254821742,0.1882477125743
Bellflower vein chlorosis virus,Riboviria,AO717,land plants,RNA,linear,-0.422092343658679,0.000961643966467941
Hubei toti-like virus 15,Riboviria,BWU71,invertebrates,RNA,linear,-0.166218585622443,0.207751190845991
Mycobacterium phage MarQuardt,Duplodnaviria,PBI,bacteria,DNA,linear,0.586206896551724,1.77277224012925e-06
Ralstonia phage RS-PI-1,Duplodnaviria,HOR67,bacteria,DNA,circular,0.503506721215664,6.07114874726571e-05
Fischettivirus C1,Duplodnaviria,C1p,bacteria,NA,NA,-0.283401519579194,0.0299677926849888
Staphylococcus phage SA12,Duplodnaviria,SA12,bacteria,DNA,circular,-0.438223261250731,0.000584606667150006
Streptomyces phage Yosif,Duplodnaviria,KGG71,bacteria,DNA,linear,0.62754929404165,2.86292599638674e-07
Mannheimia phage vB MhS 535AP2,NA,AVV64,NA,NA,NA,-0.380654587960257,0.00312320146922107
Phietavirus ETA,Duplodnaviria,phiETA,bacteria,NA,NA,-0.431618936294565,0.000718726877497716
Mycobacterium phage Bromden,Duplodnaviria,J4T99,bacteria,DNA,linear,0.238106370543542,0.0695297236249592
Danaus plexippus plexippus iteravirus,Monodnaviria,DF38,invertebrates,DNA,linear,-0.371946230274693,0.00393145113099569
Leek yellow stripe virus,Riboviria,LyspVgp,land plants,ss-RNA,linear,-0.551899473991818,8.46002762343021e-06
Wenzhou shrimp virus 10,Riboviria,BWS51,invertebrates,RNA,linear,0.10385739333723,0.432727054871202
Alstroemeria necrotic streak virus,Riboviria,KM560,land plants,RNA,linear,-0.431326709526593,0.00072526052538428
Changjiang crawfish virus 6,Riboviria,BWV53,invertebrates,RNA,linear,-0.399883109292811,0.00183979772472789
Lactococcus phage 936 group phage Phi4.2,Duplodnaviria,HYO89,bacteria,DNA,linear,-0.387784921098773,0.00257548437602776
Lukuni virus,Riboviria,D1S37,invertebrates,ss-RNA,linear,-0.439216832261835,0.000566529307101319
Mycobacterium phage Jobu08,Duplodnaviria,PBI,bacteria,DNA,linear,0.597253068381064,1.04087930082943e-06
Melon chlorotic spot virus,Riboviria,F2Q10,land plants,RNA,linear,-0.399473991817651,0.00186120347968594
Shigella phage SHFML-11,Duplodnaviria,BH804,bacteria,DNA,linear,-0.305435417884278,0.0190016934951989
Human papillomavirus 140,Monodnaviria,A401,human,DNA,circular,-0.47270601987142,0.000186258398324189
Salmonella phage allotria,Duplodnaviria,HYQ31,bacteria,DNA,linear,-0.109117475160725,0.409681831503216
Parus major densovirus,NA,BKN26,NA,DNA,linear,-0.509994155464641,4.73349707938862e-05
Sweet potato leaf curl Guangxi virus,Monodnaviria,JM63,land plants,DNA,circular,-0.236762127410871,0.0711550644052551
Nephila clavipes virus 1,Riboviria,EXL24,invertebrates,ss-RNA,linear,-0.369491525423729,0.0041905690103092
Mycobacterium phage SkinnyPete,Duplodnaviria,FDG99,bacteria,DNA,linear,0.478609000584454,0.000151385856027805
Bovine leukemia virus,Riboviria,BLVgp01,human:vertebrates,ss-RNA,linear,-0.172589129164231,0.190667493492351
Streptococcus virus 9873,Duplodnaviria,HOR14,bacteria,DNA,linear,-0.398889538281707,0.00189217125295532
Gordonia phage GordTnk2,Duplodnaviria,AXJ10,bacteria,DNA,linear,0.182466393921683,0.166221610771932
Streptomyces phage Paradiddles,Duplodnaviria,FDI37,bacteria,DNA,linear,0.235768556399766,0.0723759015448547
Oat golden stripe virus,Riboviria,Ogsv,land plants,RNA,linear,-0.418410286382233,0.00107392427147697
Oat golden stripe virus,Riboviria,Ogsv,land plants,ss-RNA,linear,-0.418410286382233,0.00107392427147697
Brevibacillus phage Abouo,Duplodnaviria,AVV45,bacteria,DNA,linear,-0.454178842781999,0.000349191445307722
Blechum interveinal chlorosis virus,Monodnaviria,D615,land plants,DNA,circular,-0.338866160140269,0.00895024743795168
Escherichia phage vB EcoM KWBSE43-6,NA,HOV43,NA,NA,NA,-0.065458796025716,0.621457026519726
Beihai picorna-like virus 105,Riboviria,BVK34,invertebrates,RNA,linear,-0.481823495032145,0.000135026545623219
Pantoea phage LIMElight,Duplodnaviria,F370,bacteria,DNA,linear,0.377849210987727,0.00336570517376658
Hubei qinvirus-like virus 1,Riboviria,BWU43,invertebrates,RNA,linear,-0.0652250146113384,0.622705708401509
African elephant polyomavirus 1,Monodnaviria,AelPyV,vertebrates,DNA,circular,-0.467095265926359,0.000226099277388024
Siovirus germanense,Duplodnaviria,HWB27,bacteria,NA,NA,0.00134424313267095,0.992088068027261
Thosea asigna virus,NA,FK947,NA,RNA,linear,-0.456867329047341,0.000319405898410052
Ryegrass mosaic virus,Riboviria,RgMVgp,land plants,ss-RNA,linear,-0.510344827586207,4.66963174311565e-05
Mycobacterium phage Lolly9,Duplodnaviria,AVU99,bacteria,DNA,linear,0.300292226767972,0.0211933233874608
Phlebiopsis gigantea mycovirus dsRNA 1,Riboviria,NA,fungi,RNA,linear,0.34926943308007,0.00696960526532853
Macacine gammaherpesvirus 4,Duplodnaviria,NA,vertebrates,DNA,circular,0.282758620689655,0.0303546528307045
Babaco mosaic virus,Riboviria,C1175,land plants,RNA,linear,-0.188369374634717,0.152760742021943
Tetterwort vein chlorosis virus,Riboviria,D1S64,land plants,RNA,linear,-0.437872589129164,0.000591111159702111
Beihai hermit crab virus 3,Riboviria,BVF19,invertebrates,RNA,linear,-0.273524254821742,0.0363911547131578
Estrildid finch bornavirus 1,Riboviria,D1O97,vertebrates,RNA,linear,-0.407422559906488,0.00148294297815648
Vibrio phage phiVC8,Duplodnaviria,phiVC8,bacteria,DNA,linear,-0.0678550555230859,0.608720106683065
Changjiang polero-like virus 1,Riboviria,BWV91,invertebrates,RNA,linear,0.0549386323787259,0.678658745736756
Aeromonas phage pAh6-C,Duplodnaviria,AH6C,bacteria,DNA,circular,0.497486849795441,7.61735746668115e-05
Mycobacterium phage GuuelaD,Duplodnaviria,J4T97,bacteria,DNA,linear,0.292051431911163,0.0251534908781432
Alteromonas phage vB AcoS-R7M,NA,HWD34,NA,NA,NA,-0.261893629456458,0.0453885023144316
Wuhan Ant Virus,Riboviria,BJD32,invertebrates,RNA,linear,-0.383635300993571,0.00288272730434226
Aedes camptorhynchus negev-like virus,unclassified viruses,CFB75,invertebrates,RNA,linear,-0.390298071303331,0.00240397406656187
Ralstonia phage GP4,Duplodnaviria,KMC52,bacteria,DNA,circular,0.47030976037405,0.000202410773810979
Mycobacterium phage TM4,Duplodnaviria,TM4,bacteria,DNA,linear,0.445704266510812,0.000460465386608191
Grapevine virus T,NA,H3Z79,NA,NA,NA,-0.402279368790181,0.00171880333543804
Ageratum yellow vein China alphasatellite,Alphasatellitidae,BB05,land plants,DNA,circular,-0.388077147866745,0.00255499430102807
Salmonella phage vB SenS PHB07,NA,HOT01,NA,NA,NA,-0.277966101694915,0.0333729916690689
Mycobacterium phage Fionnbharth,Duplodnaviria,ACQ59,bacteria,DNA,linear,0.505844535359439,5.55327342551751e-05
Duck circovirus,Monodnaviria,DCVgp,vertebrates,DNA,circular,-0.114143775569842,0.388344304216525
Dasheen mosaic virus,Riboviria,DsMVgp,land plants,ss-RNA,linear,-0.453594389246055,0.00035599344693854
Rhodococcus phage REQ2,Duplodnaviria,RoPhREQ2,bacteria,DNA,linear,0.563530099357101,5.05881988399502e-06
Lactococcus phage PC S1,NA,KMD07,NA,NA,NA,-0.392986557568673,0.00223188270748336
Changjiang picorna-like virus 3,Riboviria,BWV38,invertebrates,RNA,linear,-0.331502045587376,0.0106345151432055
Escherichia phage Eps7,Duplodnaviria,AGC,bacteria,DNA,linear,-0.188603156049094,0.152244890691175
Choristoneura fumiferana entomopoxvirus,NA,FK959,NA,DNA,linear,-0.480513088683134,0.000162022483368254
Biseptimavirus bv77,Duplodnaviria,ST77p,bacteria,NA,NA,-0.467679719462303,0.000221611681509688
Escherichia phage ZG49,Duplodnaviria,HOR28,bacteria,DNA,linear,0.217592051431911,0.0978185752619863
Suid alphaherpesvirus 1,Duplodnaviria,SuHV1,human:vertebrates,DNA,linear,0.362594973699591,0.00500147896526177
Chaetoceros tenuissimus RNA virus type-II,Riboviria,RM90,eukaryotic algae,RNA,linear,-0.306954997077732,0.0183925192051111
Gordonia phage Secretariat,Duplodnaviria,HWD32,bacteria,DNA,linear,0.460724722384571,0.000280716046143625
Human papillomavirus 127,Monodnaviria,HPV127,human,DNA,circular,-0.447691408533022,0.000431804637071648
Odonata-associated circular virus-11,unclassified viruses,EXK19,invertebrates,ss-DNA,circular,-0.366438824333561,0.00573760952224642
Hubei picorna-like virus 60,Riboviria,BWR95,invertebrates,RNA,linear,-0.240385739333723,0.0668420653846481
Xipdecavirus OP1,Duplodnaviria,OP1,bacteria,NA,NA,-0.0894213909994156,0.499612945661624
Whataroa virus,Riboviria,WHAV,invertebrates,RNA,linear,-0.0961426066627703,0.467821143523592
Deerpox virus W-848-83,Varidnaviria,DpV83gp,vertebrates,DNA,linear,-0.518059614260666,3.45144494968798e-05
Tomato leaf curl Namakely virus,Monodnaviria,D1T25,land plants,DNA,linear,-0.337989479836353,0.00913768816353521
Beihai picorna-like virus 115,NA,BVK24,NA,RNA,linear,-0.369023962594974,0.00424160829305823
Streptococcus phage YMC-2011,Duplodnaviria,Ssal,bacteria,DNA,circular,-0.270426651081239,0.0386280535449365
Lymantria xylina nucleopolyhedrovirus,Naldaviricetes,LxMNPV,invertebrates,DNA,circular,0.0423144360023378,0.749748789377204
Mastomys natalensis polyomavirus 3,Monodnaviria,KM751,vertebrates,DNA,circular,-0.341729982466394,0.00836115653870676
Turnip rosette virus,Riboviria,TRoVgp,land plants,RNA,linear,-0.314728229105786,0.015531439474226
Phytophthora infestans RNA virus 2,Riboviria,EXL56,fungi,RNA,linear,-0.343366452367037,0.00804000746652178
Psychrobacter phage pOW20-A,Duplodnaviria,PSYG,bacteria,DNA,linear,-0.271829339567504,0.0376013343114731
Bat adenovirus 2,Varidnaviria,BatAdV2,vertebrates,DNA,linear,-0.00175336060783168,0.989626697905729
Tomato leaf curl virus-Pune-associated DNA beta,NA,TLCVDB,NA,ss-DNA,circular,-0.170731707317073,0.278635509865211
Enterococcus phage EfV12-phi1,Duplodnaviria,HOU42,bacteria,DNA,linear,-0.355873758036236,0.0059223190961671
Pelagibacter phage HTVC008M,Duplodnaviria,I899,bacteria,DNA,linear,-0.384804208065459,0.00279303071991392
Salmonella phage vB SenM-S16,NA,I133,NA,NA,NA,-0.31104617182934,0.0168349589964267
Mycobacterium phage Bruns,Duplodnaviria,BRUNS,bacteria,DNA,linear,0.540970192869667,1.3517581833262e-05
Hubei diptera virus 14,Riboviria,BWW08,invertebrates,RNA,linear,-0.470192869666862,0.000203230635971092
Torque teno midi virus 15,NA,D1P90,NA,DNA,circular,-0.283275400658279,0.0315286518061211
Mycobacterium phage MosMoris,Duplodnaviria,FH33,bacteria,DNA,linear,0.505026300409118,5.72968741035363e-05
Ustilaginoidea virens partitivirus 2,Riboviria,N398,fungi,ds-RNA,linear,0.0212156633547633,0.873057577501062
Ustilaginoidea virens partitivirus 2,Riboviria,N398,fungi,RNA,linear,0.0212156633547633,0.873057577501062
Turkey calicivirus,Riboviria,FLA49,vertebrates,RNA,linear,0.00695499707773232,0.958348384299935
Varroa mite associated virus 1,unclassified viruses,C5Y63,invertebrates,DNA,circular,-0.438983050847458,0.000570736427834721
Papaya cytorhabdovirus,Riboviria,KM668,land plants,RNA,linear,-0.411805961426067,0.00130539271464434
Salehabad virus,Riboviria,KM559,invertebrates,RNA,linear,-0.336119228521333,0.00954905784264869
Prochlorococcus phage Syn1,Duplodnaviria,Syn1,bacteria,DNA,linear,-0.126534190531853,0.338654548402936
Fusarium poae virus 1-240374,Riboviria,BHR94,fungi,RNA,linear,0.060082023239918,0.65921304330028
Listeria phage LP-125,Duplodnaviria,LP125,bacteria,DNA,linear,-0.440853302162478,0.000537860796411628
Mahlapitsi orthoreovirus,Riboviria,A6I63,invertebrates,RNA,linear,-0.372355347749854,0.00388967713312398
Adelaide River virus,Riboviria,ASN21,vertebrates,RNA,linear,-0.454938632378726,0.000340526419197721
Beet mild yellowing virus,Riboviria,BMYVgp,land plants,ss-RNA,linear,-0.339742840444185,0.00876617595912365
Enterobacter phage PG7,Duplodnaviria,CG98,bacteria,DNA,linear,-0.143892460549386,0.27611444743357
Microbacterium phage MonChoix,Duplodnaviria,H3N89,bacteria,DNA,linear,0.651431911163063,6.04132996920394e-08
Bradson virus,unclassified viruses,BLX28,invertebrates,RNA,linear,-0.353594389246055,0.00626692043316938
Okahandja mammarenavirus,Riboviria,ABY38,vertebrates,RNA,linear,-0.409643483343074,0.00139043446502325
Cercopithecine alphaherpesvirus 9,Duplodnaviria,ChV7gp,vertebrates,DNA,linear,-0.476095850379895,0.000165424585489097
Lactococcus phage 1358,Duplodnaviria,ABG43,bacteria,DNA,linear,-0.0648158971361777,0.624893461772709
Mesta yellow vein mosaic virus-associated DNA beta,Tolecusatellitidae,MYVMVDB,land plants,DNA,linear,-0.0818011257035647,0.614676697693211
Bat iflavirus,NA,B2K38,NA,RNA,linear,-0.362887200467563,0.0049644881775605
Nodularia phage vB NspS-kac68v161,NA,HWC13,NA,NA,NA,-0.374400935125658,0.00368666645241151
Beihai sipunculid worm virus 5,Riboviria,BVK76,invertebrates,RNA,linear,-0.201928696668615,0.124940308289408
Lactococcus phage 20R03M,Duplodnaviria,KMC79,bacteria,DNA,linear,-0.378082992402104,0.0033448744181638
Oat sterile dwarf virus,Riboviria,D1R92,invertebrates:land plants,RNA,linear,-0.362127410870836,0.00506117149776691
Banana streak VN virus,Riboviria,BSVSAV,land plants,DNA,circular,-0.3062536528346,0.0186715647911045
Rousettus aegyptiacus polyomavirus 1,Monodnaviria,B5Z30,vertebrates,DNA,circular,-0.370820388200191,0.00438655827932022
Xinzhou nematode virus 4,Riboviria,B1U14,invertebrates,RNA,linear,-0.444827586206897,0.000473652662009844
Bacillus phage vB BthP-Goe4,NA,H3015,NA,NA,NA,-0.40905902980713,0.00141426031444212
Hubei toti-like virus 5,Riboviria,BWU63,invertebrates,RNA,linear,-0.355172413793104,0.00602652593810977
Pseudomonas phage PaBG,Duplodnaviria,O152,bacteria,DNA,circular,0.620163646990064,3.29817908039661e-07
Amphibola crenata associated bacilladnavirus 1,Monodnaviria,B1T99,invertebrates,ss-DNA,circular,-0.19281122150789,0.14318037750335
Mycobacterium phage Perseus,Duplodnaviria,CL67,bacteria,DNA,linear,0.544184687317358,1.17942760828235e-05
Salmonella phage vB SenS SB13,NA,HWC37,NA,NA,NA,-0.231618936294565,0.0776574060976123
Mycobacterium phage Mova,NA,I5H68,NA,DNA,linear,0.455172413793104,0.00033790007042736
Sanxia water strider virus 20,Riboviria,BWU06,invertebrates,RNA,linear,-0.0500292226767972,0.706013122381457
